Laptop,Dell Latitude E5430 14 inch,current,,,,
cost,199,,,,,
hdd,320,736,,,,
screen,14,15.4,,,,
ram,4,3.3,,,,
intel/amd processor,Intel DualCore i5-3320M 2.6 GHz - Turbo Boost 3.3 GHz,amd,,,,
with windows?,10 met license,,,,,
graphic card,Intel HD Graphics 4000,,,,,
,,,,,,
fortnite compatible!,,,,,,
ubuntu centre,Nope,,,,,
wifi prob,yes but solved so far on ubuntu,yes,,,,
videocard prob,,yes,,,,
other prob,,"yes, screen flicker, possible to cure! Computer way too slow!",,,,
,,,,,,
Return ?,15 day no question return,!,costs incured on return!,remove windows,disrupt installation,no of years used?
warrenty,12,,,,,
website,ltweedehandsnotebookhttps://www.tweedehandsnotebook.nl/dell-refurbished-laptops/7891-dell-latitude-e5430-14-inch.html?gclid=CjwKCAjww6XXBRByEiwAM-ZUIAhIOX2WcSanHoM2WO69yHKV5JZFGWJob1zcBvihS4wpaIC161PbHBoCNz8QAvD_BwE,,,,,
,,,,,,
,https://askubuntu.com/questions/798965/ubuntu-16-04-wifi-networks-grayed-out-dell-latitude-e5470?utm_medium=organic&utm_source=google_rich_qa&utm_campaign=google_rich_qa,,,,,
,claims to be dixed by dell drivers!,,,,,
search words,Dell Latitude E5430 ubuntu 16,,,,return policy,
time,2014,,,,,
